team,season,name,gameId,opposingTeam,home_or_away,situation,penaltiesFor,penaltiesAgainst,delta,total
ARI,2008,ARI,2008020056,OTT,AWAY,all,3,0,3,3
NYR,2008,NYR,2008020057,TOR,HOME,all,4,9,5,13
TOR,2008,TOR,2008020057,NYR,AWAY,all,9,4,5,13
CBJ,2008,CBJ,2008020058,NSH,HOME,all,7,6,1,13
NSH,2008,NSH,2008020058,CBJ,AWAY,all,6,7,1,13
VAN,2008,VAN,2008020059,BUF,AWAY,all,7,5,2,12
BUF,2008,BUF,2008020059,VAN,HOME,all,5,7,2,12
EDM,2008,EDM,2008020060,CGY,AWAY,all,4,7,3,11
CGY,2008,CGY,2008020060,EDM,HOME,all,7,4,3,11
S.J,2008,S.J,2008020061,ANA,AWAY,all,10,11,1,21
ANA,2008,ANA,2008020061,S.J,HOME,all,11,10,1,21
CAR,2008,CAR,2008020062,L.A,AWAY,all,3,5,2,8
L.A,2008,L.A,2008020062,CAR,HOME,all,5,3,2,8
COL,2008,COL,2008020063,DAL,AWAY,all,8,11,3,19
DAL,2008,DAL,2008020063,COL,HOME,all,11,8,3,19
ARI,2008,ARI,2008020064,MTL,AWAY,all,6,6,0,12
MTL,2008,MTL,2008020064,ARI,HOME,all,6,6,0,12
BOS,2008,BOS,2008020065,OTT,AWAY,all,5,2,3,7
OTT,2008,OTT,2008020065,BOS,HOME,all,2,5,3,7
PIT,2008,PIT,2008020066,TOR,HOME,all,5,4,1,9
TOR,2008,TOR,2008020066,PIT,AWAY,all,4,5,1,9
N.J,2008,N.J,2008020067,WSH,AWAY,all,8,4,4,12
WSH,2008,WSH,2008020067,N.J,HOME,all,4,8,4,12
BUF,2008,BUF,2008020068,ATL,AWAY,all,8,7,1,15
ATL,2008,ATL,2008020068,BUF,HOME,all,7,8,1,15
NYI,2008,NYI,2008020069,FLA,AWAY,all,5,2,3,7
FLA,2008,FLA,2008020069,NYI,HOME,all,2,5,3,7
DET,2008,DET,2008020070,NYR,HOME,all,2,2,0,4
NYR,2008,NYR,2008020070,DET,AWAY,all,2,2,0,4
MIN,2008,MIN,2008020071,T.B,AWAY,all,3,7,4,10
T.B,2008,T.B,2008020071,MIN,HOME,all,7,3,4,10
CBJ,2008,CBJ,2008020072,NSH,AWAY,all,7,7,0,14
NSH,2008,NSH,2008020072,CBJ,HOME,all,7,7,0,14
STL,2008,STL,2008020073,CHI,HOME,all,4,4,0,8
CHI,2008,CHI,2008020073,STL,AWAY,all,4,4,0,8
EDM,2008,EDM,2008020074,CGY,HOME,all,8,6,2,14
CGY,2008,CGY,2008020074,EDM,AWAY,all,6,8,2,14
PHI,2008,PHI,2008020075,S.J,AWAY,all,11,7,4,18
S.J,2008,S.J,2008020075,PHI,HOME,all,7,11,4,18
VAN,2008,VAN,2008020076,CHI,AWAY,all,10,10,0,20
CHI,2008,CHI,2008020076,VAN,HOME,all,10,10,0,20
ANA,2008,ANA,2008020077,CAR,HOME,all,5,5,0,10
CAR,2008,CAR,2008020077,ANA,AWAY,all,5,5,0,10
BOS,2008,BOS,2008020078,PIT,HOME,all,5,7,2,12
PIT,2008,PIT,2008020078,BOS,AWAY,all,7,5,2,12
NYR,2008,NYR,2008020079,DAL,HOME,all,4,3,1,7
DAL,2008,DAL,2008020079,NYR,AWAY,all,3,4,1,7
FLA,2008,FLA,2008020080,MTL,AWAY,all,7,4,3,11
MTL,2008,MTL,2008020080,FLA,HOME,all,4,7,3,11
L.A,2008,L.A,2008020081,COL,HOME,all,4,4,0,8
COL,2008,COL,2008020081,L.A,AWAY,all,4,4,0,8
BOS,2008,BOS,2008020082,BUF,AWAY,all,4,6,2,10
BUF,2008,BUF,2008020082,BOS,HOME,all,6,4,2,10
TOR,2008,TOR,2008020083,ANA,HOME,all,1,4,3,5
ANA,2008,ANA,2008020083,TOR,AWAY,all,4,1,3,5
CBJ,2008,CBJ,2008020084,VAN,HOME,all,6,6,0,12
VAN,2008,VAN,2008020084,CBJ,AWAY,all,6,6,0,12
ATL,2008,ATL,2008020085,T.B,AWAY,all,5,3,2,8
T.B,2008,T.B,2008020085,ATL,HOME,all,3,5,2,8
WSH,2008,WSH,2008020086,CGY,AWAY,all,10,5,5,15
CGY,2008,CGY,2008020086,WSH,HOME,all,5,10,5,15
FLA,2008,FLA,2008020087,OTT,AWAY,all,5,4,1,9
OTT,2008,OTT,2008020087,FLA,HOME,all,4,5,1,9
N.J,2008,N.J,2008020088,DAL,HOME,all,6,5,1,11
DAL,2008,DAL,2008020088,N.J,AWAY,all,5,6,1,11
